# temperature line_ratio_5007+4959_4363
5139.244796491877 4799.736099984029
5211.322262367981 4388.897038440836
5286.091038231116 3991.2518433403416
5399.310959792478 3456.278633788149
5482.219288493608 3171.9915080398114
5549.6471805323945 2997.0551338030755
5631.002800701244 2752.8620863655806
5716.778418565869 2482.764142736973
5805.311747267 2253.547433407534
5881.805478352171 2061.7212293578473
5972.185936631462 1901.9059042280683
6054.731795441912 1754.832832262286
6140.011812117843 1644.728560813009
6241.21833558326 1547.0607769801939
6340.432184546971 1396.7893638189894
6519.894631004152 1188.9979401417925
6464.760804613674 1283.046801400741
6557.575597554196 1112.3399820022166
6668.644617380025 1090.3591836182934
6725.554260914183 1001.084656623709
6833.792252309484 931.5969134261687
6943.469056883454 884.9912887195688
7008.935056512877 833.081429817242
7110.807219288494 814.9762566572634
7170.426625903279 751.4172096067455
7282.46545699992 720.7849764328594
7379.261957701368 667.664128261751
7499.353807670927 650.1555454156294
7529.397207850514 594.4068887070312
7641.13845927476 581.2793642354663
7704.153859987574 541.6052162409377
7811.27378967151 524.8003525449657
7941.727547049948 492.4908401445297
8048.80059027502 466.99590783387447
8095.13387066889 446.11426302719855
8191.612527793218 425.37739098737893
8290.150281902645 421.6761294636123
8339.98447204969 399.1297594209136
8454.266953863258 373.78880951711983
8579.929436106479 359.3628638349916
8655.489569368603 340.6336075227952
8757.977116916805 331.98146372473906
8882.638833743615 318.13422267490245
8994.051479216849 306.53725457069976
9089.522728676424 288.58449742930213
9197.39284170218 279.2091098485986
9300.923352479771 269.81756623651023
9405.468315730963 264.6972030639948
9434.497263436951 252.28147156286738
9540.841362485331 241.00014681262698
9639.350333518621 231.58634263375737
9750.382156753752 223.7684018595562
9864.62882818497 213.13777507274793
9977.672903074807 206.37196402757795
10081.04027091074 195.69482307097178
10186.895088774809 190.1656251690747
10273.541264754927 183.63667934222318
10377.764653202395 181.7258194259368
10491.059269038355 174.8466050530527
10611.11126551788 164.43776787400452
10725.397790439132 159.05118579795973
10855.120900500278 157.39406136533492
10979.631593575377 150.53620145462781
11096.278796862454 144.54065817134952
11197.110731452114 138.46981872479992
11305.199647952566 135.26311146468197
11401.910783768759 131.77134109048993
11524.65953307393 131.1069857424357
11657.823327774688 127.61991630360947
11770.157031684268 123.82374687751344
11892.905780989438 120.6397872234586
12010.632990550304 118.80579376949913
12121.10686492496 114.51537631652441
12228.372533351861 113.26719999710151
12305.090501667593 107.68702667727943
12417.377709838798 102.82307344416482
12533.078684064245 102.11851457162695
12633.737879068618 98.12739937376676
12756.796599962941 97.06072880227616
12874.895775430794 94.10036787209971
13001.364183805817 91.78968773028251
13110.547117679756 88.82008390162184
13194.321498054474 88.91040709718996
13303.121525847693 87.87082270806717
13432.844635908838 85.45147421192301
13555.593385214008 82.06422406524744
13687.906972127372 80.29673915283514
13800.028124090102 78.50189042967997
13919.1900592922 77.67887024964139
14046.588382434686 76.45783604913805
14169.337131739854 75.4244284947095
14296.73545488234 74.98582640035453
14421.398734591112 72.71926137357379
14537.583379655363 70.4316678527881
14660.332128960534 69.2679725137416
14783.080878265702 68.17252242146073
14905.829627570873 67.01618197544208
15039.039918010005 64.45742239416604
15153.902274768034 63.111841293129494
15280.639979727297 62.13866853072558
15396.82462479155 62.20183563664615
15519.573374096719 60.736499689094416
15642.32212340189 59.30268309754146
15765.07087270706 58.26280329929841
15883.17004817491 57.41762047116071
15933.925097276258 57.08474358125641
16021.727348526958 56.65440929680664
16154.937638966092 55.78743833281141
16267.224847137297 55.150585877863385
16389.97359644247 54.827848341914176
16510.065446412027 54.42066597515711
16626.969017178853 53.23988009019452
16739.2787659811 52.122263782806
16862.08417069312 51.14597863852371
16987.908791921436 50.73816808797041
17115.307115063923 50.810553165124205
17238.055864369093 50.65275502469927
17371.21965906986 49.29786963109961
17483.55336297943 48.371949197334246
17606.302112284604 48.38135376918243
17729.05086158977 48.437819610288535
17830.655919955534 47.6221027498374
17853.287474522884 46.16457538093677
17974.54836020011 45.86655417004144
18097.297109505278 45.18785673171573
18220.045858810452 44.65194652941048
18342.79460811562 44.122392011258164
18465.54335742079 44.122392011258164
18598.75364785992 43.39718352018099
18711.040856031126 42.83768196711305
18833.789605336297 42.34091803693623
18951.516814897164 41.78975349690982
19061.990689271814 39.88631609959007
19182.507643135075 38.84256668958847
19292.620491776477 38.26642358483163
19430.23693718732 38.09400698628618
19542.94260700389 37.71305540120795
19653.41648137854 36.467917927097695
19748.825736520288 36.23139336721034
5073.929961089494 5345.388495408948
5338.521400778211 3781.9885288633022
5011.6731517509725 5880.713907656454
