# Ne/sqrt(Te/10000)cm-3 intensity_ratio_3729_3726
1.0448423235931337 1.5010506391780132
1.1414335133912108 1.4993347672082855
1.244755777007692 1.5043407603274443
1.3217522590041033 1.4981851308981091
1.440948525191384 1.5038187165839079
1.497047785751789 1.499470252178429
1.610502244972776 1.502133429190631
1.7677974325487806 1.4997052211770892
1.9425349837185155 1.4979705695654681
2.134544429974541 1.4995123780945236
2.3455330080148347 1.5003554122439557
2.4834273412112498 1.5005637467059074
2.5969378938791814 1.5029447316580276
2.8297111139286018 1.5007121241848922
2.94768577465189 1.5004406815989713
3.165873604776755 1.4984381672341163
3.478803689879323 1.5000010387212188
3.8226652809063695 1.4986871447715409
4.175842406389573 1.498255933603364
4.362537639097459 1.4978168397410707
4.7359098996093 1.4974900666558582
5.204029879411001 1.4980680609712866
5.71842107638844 1.4975565319901403
6.233602345873003 1.4943661513669015
6.7397083791366565 1.4882442186715608
7.449216011331635 1.4866992123488747
8.1256305576777 1.484540827514571
8.928806735680997 1.4819458710831555
9.811372687601894 1.4808880425234512
10.78117567830618 1.4755052865780547
11.846838633841639 1.469832329877341
13.01783681149816 1.4689710889260776
14.304582048303255 1.4660222747994691
15.81204118304899 1.460545905707196
17.251077742139728 1.4554692647520855
18.97947623545149 1.4509281578636417
20.85549841921799 1.4477396272144958
22.998925305653977 1.4430865857490014
25.18217707834362 1.4383876738415373
27.67130387238368 1.4319002827629983
30.466655245233074 1.4213779850288015
33.41198853636172 1.4153869236539904
36.71458924674824 1.4073910235800708
40.343634803132986 1.3982613345644102
44.33139257502973 1.3924704252986322
48.713319393045495 1.3826129609325408
53.52837681046541 1.3715385256570551
57.572714725797425 1.354115915425743
62.99300337630448 1.3507657683651682
73.49860051412061 1.3354319349068036
82.24909147082417 1.318249177679035
90.23232538438418 1.3031108257833688
106.31954455655429 1.2724115644295688
113.71736176839288 1.257376421028334
131.36550460331537 1.2316336776501817
148.4024094279774 1.20399907669225
156.14830612616134 1.1881913266778232
166.16907614266222 1.1780166195395003
169.82047802812855 1.173910208321311
182.07923783413204 1.157862773385654
190.25067600496152 1.1411002750687673
205.87410844871116 1.1296889607017138
255.12522337094305 1.066383430177071
268.0547525900403 1.046588570219478
292.03733414223314 1.0262277107738473
315.13303401034915 1.0034301561815793
345.16915568259026 0.9753817300478965
380.5104872665929 0.9537116632099201
400.9354402572517 0.9324193136196136
424.4927818661379 0.9115899563126072
459.21361263802686 0.894856846079652
488.0844421942142 0.8760892146113453
515.5810791803938 0.8589176140188893
561.6093168666818 0.8327749725893011
600.1532211336266 0.8044471525121097
653.5188128238364 0.7827399157481678
742.4078712061578 0.7599621851164147
819.5347231281027 0.7353482601419585
883.5027299145996 0.708370560188124
951.172306206658 0.6970726527785791
1014.5989170822179 0.665315328832208
1105.3740331231731 0.6483863273510686
1150.472374025832 0.6312505049339259
1225.0501477097343 0.6152797333948874
1294.9323284647326 0.5924975474637884
1397.215614381812 0.5774055052224587
1517.9403939996016 0.5551021088605474
1631.3768498170598 0.5377287728525533
1829.886114397628 0.5123624833333837
2008.0420756437813 0.4976317156212129
2363.0942835923906 0.45941347974356206
2651.0077157489004 0.44102525631407796
2838.708890563288 0.4299918056437184
3108.626990708952 0.4142224017542846
3401.2943710235677 0.4059029372727794
3806.389374893557 0.39238313626989774
4556.589895157186 0.37413959259045515
4922.1835368999955 0.368309223054752
5353.655296922646 0.3606125466806258
6092.607873055769 0.3497783757680313
8618.37707254848 0.32883951757170093
9519.074666286642 0.3246463154250103
10406.344322553503 0.3201534999134392
11205.222767553732 0.3162774296813069
12235.85393635831 0.31113693808067433
13445.304246639182 0.30928339777252023
14892.93765422088 0.30502741069882866
17368.422569544324 0.30136239188002123
18958.4242448167 0.30027006751687857
20832.36554916621 0.2988066247331058
23076.175389635606 0.29706979629522734
25356.22956332964 0.2947737703656679
27640.61092686989 0.29376074787927653
30372.74107779626 0.2915124935079916
33279.733701806465 0.2884591660735687
36673.86551025546 0.28729066882105103
40623.929660471746 0.2844105257083498
44282.220298106 0.2839252120722482
51226.49673239774 0.2839736857291244
56289.96861509976 0.2830203704772343
61853.93827028948 0.28173004789658895
67967.87729099006 0.2826256564141032
74686.14727903357 0.2811668301690804
82068.4831969133 0.2801558081828146
90180.52449644572 0.2798765075884351
